set n_col_ini = 1..1824;


param col_ini (tr): 
	1 	2 	3 	4 	5 :=
1	79	97	66	59	15
2	17	25	65	48	72
3	66	89	2	40	98
4	3	20	89	96	100
5	62	3	10	25	12
6	37	42	86	56	89
7	61	4	16	68	43
8	10	38	17	18	35
9	93	21	43	14	82
10	55	14	16	53	54
11	62	3	19	11	83
12	12	6	32	47	73
13	10	25	66	48	44
14	1	101	2	3	8
15	20	72	63	42	49
16	18	5	29	81	72
17	63	29	62	60	54
18	10	25	67	48	56
19	15	81	29	86	25
20	57	23	91	95	44
21	67	3	38	77	51
22	67	68	20	64	37
23	87	23	91	95	7
24	13	88	28	68	63
25	82	2	83	87	47
26	5	2	32	54	87
27	5	8	23	92	49
28	78	95	74	20	81
29	30	25	88	48	71
30	1	17	27	55	72
31	15	2	29	80	89
32	8	94	19	36	31
33	82	26	83	87	86
34	67	3	39	45	60
35	48	36	76	16	73
36	10	25	98	38	63
37	62	33	43	79	49
38	1	11	40	21	60
39	10	9	70	48	39
40	34	31	42	58	27
41	37	30	34	92	27
42	11	76	80	74	9
43	1	68	40	22	62
44	100	89	66	70	45
45	46	89	42	100	71
46	69	100	101	102	103
47	41	78	20	77	54
48	10	29	57	48	38
49	59	35	17	12	61
50	99	89	50	51	73
51	94	92	75	58	22
52	78	99	6	74	41
53	13	21	32	39	101
54	15	69	29	10	93
55	84	5	93	71	88
56	13	61	35	63	18
57	34	13	58	57	18
58	52	84	90	31	66
59	35	2	60	68	19
60	20	2	40	17	60
61	20	75	41	4	55
62	80	90	46	76	32
63	78	28	34	75	4
64	58	95	21	6	22
65	38	53	8	39	72
66	12	30	80	54	81
67	56	25	36	3	54
68	17	21	59	86	85
69	52	18	51	87	27
70	32	5	49	33	95
71	35	36	83	65	91
72	28	29	58	90	81
73	33	41	97	65	94
74	56	13	31	2	10
75	96	61	85	45	44
76	33	57	96	82	35
77	19	7	63	64	54
78	22	36	43	85	38
79	65	7	30	14	69
80	28	80	49	84	4
81	42	70	99	37	95
82	46	16	7	22	70
83	45	18	70	87	4
84	13	9	45	24	56
85	77	98	55	52	93
86	53	98	79	64	91
87	24	58	43	1	26
88	74	12	60	76	62
89	77	39	90	100	80
90	100	72	12	56	57
91	96	81	99	50	71
92	61	96	40	93	75
93	36	83	6	51	75
94	97	92	54	75	44
95	14	11	61	24	54
96	40	18	43	87	50
97	59	23	50	72	36
98	79	50	82	85	88
99	64	27	90	40	88
100	62	21	48	78	33
101	94	100	82	84	51
102	28	3	38	69	54
103	97	69	66	57	88
104	14	70	40	26	76
105	26	18	79	87	84
106	15	5	29	53	71
107	39	26	9	19	46
108	82	24	18	87	47
109	93	15	64	22	82
110	15	24	13	87	47
111	79	26	39	9	46
112	9	89	86	19	79
113	26	28	73	38	55
114	9	74	14	84	77
115	14	89	96	26	39
116	10	14	79	61	53
117	93	30	39	22	82
118	16	14	56	22	82
119	79	3	92	41	54
120	93	14	5	22	82
121	19	89	44	26	9
122	15	79	29	86	89
123	79	89	39	19	47
124	82	94	68	87	47
125	10	29	78	48	79
126	79	89	83	26	73
127	70	3	21	91	54
128	82	21	78	87	47
129	38	25	70	48	37
130	82	71	85	87	96
131	37	78	47	55	18
132	59	11	18	24	68
133	18	11	2	24	60
134	39	89	40	70	94
135	94	4	8	99	13
136	13	9	16	44	74
137	35	48	21	38	2
138	68	69	14	2	35
139	21	37	67	46	80
140	24	33	19	39	54
141	70	14	42	24	63
142	33	36	12	28	75
143	100	91	96	49	68
144	56	10	40	22	60
145	88	91	73	69	41
146	93	89	1	41	66
147	42	65	99	79	7
148	4	58	68	22	41
149	45	14	77	57	58
150	31	80	5	75	35
151	22	6	29	10	95
152	70	2	36	76	31
153	11	4	28	33	24
154	19	92	29	38	99
155	93	29	85	22	82
156	8	53	33	62	47
157	6	3	28	24	64
158	60	11	61	21	34
159	73	40	6	36	78
160	33	54	96	23	56
161	85	90	9	96	76
162	78	15	93	28	2
163	40	20	51	100	96
164	62	50	43	65	49
165	74	92	45	85	48
166	41	56	75	58	19
167	7	72	78	39	34
168	52	15	76	22	82
169	92	93	30	8	59
170	22	1	41	53	18
171	78	63	5	36	32
172	10	24	27	48	38
173	63	50	93	49	43
174	84	58	66	94	45
175	15	77	29	81	89
176	57	55	42	68	19
177	52	25	19	28	99
178	75	100	51	83	50
179	66	69	46	85	92
180	84	70	33	4	31
